-0.218,-0.933,-0.046
-0.132,-0.963,0.305
0.264,-0.956,-0.108
0.407,-0.974,0.099
-0.030,-0.897,-0.085
-0.255,-0.896,0.045
-0.083,-0.967,-0.204
0.326,-0.953,-0.184
0.143,-0.947,0.159
0.292,-0.942,-0.185
0.430,-0.944,0.026
-0.173,-0.899,0.048
-0.007,-0.946,0.152
0.359,-0.948,-0.183
-0.039,-0.954,0.109
0.269,-0.924,-0.084
-0.293,-0.951,0.151
-0.017,-0.858,-0.334
0.011,-0.867,-0.348
0.089,-0.955,-0.289
-0.302,-0.918,0.133
-0.295,-0.954,0.106
0.036,-0.951,0.205
-0.170,-0.928,-0.032
0.065,-0.940,-0.392
0.175,-0.955,-0.245
0.034,-0.953,-0.239
0.324,-1.003,-0.032
0.197,-0.934,0.170
-0.120,-0.947,-0.295
-0.049,-0.935,0.236
-0.076,-0.934,-0.136
0.461,-0.970,-0.066
0.490,-0.952,0.269
0.331,-0.984,-0.098
0.699,-0.945,0.204
0.301,-0.891,-0.031
0.460,-0.817,0.129
-0.006,-0.946,-0.238
0.080,-0.930,-0.161
-0.125,-0.962,-0.277
0.394,-0.993,0.109
0.143,-0.972,-0.041
0.174,-0.931,0.029
0.060,-0.922,-0.024
-0.005,-0.832,-0.368
-0.149,-0.944,-0.145
0.056,-0.970,0.091
-0.221,-0.933,-0.057
0.013,-0.945,0.174
-0.038,-0.922,0.183
-0.239,-0.924,0.192
-0.217,-0.917,0.083
-0.168,-0.934,0.133
0.010,-0.896,0.303
-0.275,-0.917,0.137
-0.268,-0.929,0.122
0.627,-0.961,0.207
-0.230,-0.932,0.044
0.233,-0.934,0.238
0.257,-0.984,-0.192
0.397,-0.952,0.079
0.136,-0.864,-0.139
0.542,-0.962,-0.002
0.348,-0.952,0.034
0.161,-0.913,-0.007
0.368,-0.906,0.143
0.762,-0.943,0.151
0.538,-0.984,0.036
0.586,-0.994,0.070
0.486,-0.922,0.110
0.018,-0.874,-0.377
-0.041,-0.925,-0.402
0.120,-0.895,-0.150
0.348,-0.985,0.657
0.031,-0.907,-0.383
0.237,-0.953,-0.288
0.465,-0.859,0.157
0.160,-0.942,0.474
0.370,-0.951,0.474
0.145,-0.939,-0.346
-0.017,-0.928,0.358
0.029,-0.926,0.355
0.226,-0.966,-0.272
0.537,-0.968,0.220
-0.108,-0.959,-0.081
0.564,-0.969,0.360
0.404,-0.976,0.488
0.549,-0.980,0.432
0.470,-0.977,0.374
0.392,-0.916,0.333
0.435,-0.946,0.386
0.178,-0.908,0.383
0.385,-0.951,0.568
0.157,-0.945,0.521
0.411,-0.944,0.151
-0.333,-0.913,0.074
0.134,-0.983,0.381
0.210,-1.000,0.402
-0.082,-0.957,0.128
0.446,-0.957,0.436
0.750,-1.021,0.268
-0.133,-0.956,-0.250
0.166,-0.952,-0.040
-0.250,-0.923,0.135
-0.229,-0.944,0.142
0.077,-0.934,0.300
0.472,-0.987,0.239
0.007,-0.970,-0.246
-0.126,-0.914,-0.133
-0.044,-0.909,0.329
0.281,-0.924,0.256
0.339,-0.933,0.308
-0.065,-0.924,0.002
0.303,-0.936,0.297
-0.022,-0.947,0.053
0.112,-0.978,0.347
0.314,-0.901,-0.083
0.191,-0.957,0.286
0.001,-0.948,-0.039
0.215,-0.983,-0.131
0.274,-0.957,-0.206
0.151,-0.905,-0.167
0.619,-0.964,0.349
0.312,-0.978,0.599
-0.311,-0.967,0.114
-0.198,-0.887,0.068
-0.039,-0.962,-0.325
0.158,-0.967,-0.283
0.002,-0.888,-0.363
